ACCT_GUID,EFF_DT,CIFDB_ACCT_ID,ACCT_BAL_AMT,ACCT_STATUS_RSN_TXT,PAYMT_MIN_DUE_AMT,PAST_DUE_1_30_AMT,PAST_DUE_31_60_AMT,PAST_DUE_61_90_AMT,PAST_DUE_91_120_AMT,PAST_DUE_121_150_AMT,PAST_DUE_151_180_AMT,PAST_DUE_181_210_AMT,PAST_DUE_211_240_AMT,PAST_DUE_241_270_AMT,PAST_DUE_271_300_AMT,PAST_DUE_301_330_AMT,PAST_DUE_331_360_AMT,PAST_DUE_361_UP_AMT,CHARGEOFF_DT,CR_LMT_AMT,CR_LMT_AVLB_AMT,TOT_PAST_DUE_AMT,LAST_PAST_DUE_CYCL_AMT,PAST_DUE_CYCL_LTD_CNT,ACTL_DAYS_PAST_DUE_CNT,CNSCTV_DAYS_PAST_DUE_CNT,MOST_RCNT_PAST_DUE_DT,PAST_DUE_ACCT_STATUS_CD,COLL_ENRLM_STATUS_CD,PAST_DUE_CYCL_TXT,CLNT_PRDCT_CD
f6c55d46-7adb-4f6c-ae46-daab6db978bb,2025-03-16,1249812,6184.0,Live particular sell black.,481.57,814.48,215.4,1802.4,76.31,1072.4,664.4,1704.17,319.32,674.43,667.59,490.33,3.34,872.55,2025-01-25,123543.9,114911.03,9377.12,1577.29,7,3,28,2025-04-14 04:31:22,Mu,CENRL992,Land stock card gas everybody even.,PRDCT16
8d986243-1e5b-4c49-b53e-2d9e688db00b,2025-05-21,7547567,5344.86,Where beyond concern church.,3352.33,252.5,1813.22,583.6,861.28,953.85,938.59,73.49,610.19,1043.34,965.92,1642.54,1277.51,1129.63,,12384.14,1325.83,12145.66,3230.77,6,21,17,2025-04-18 22:46:48,Mc,CENRL089,Fine for pick say.,PRDCT83
7f9177fd-acc7-40a2-9fa6-c12fbc163e01,2025-04-16,3418178,64196.97,Outside we process front air tonight station.,3349.96,1780.2,972.27,1336.94,749.04,63.68,1508.35,362.93,1640.38,1827.29,1316.15,340.25,673.83,782.39,2025-05-15,96785.74,41311.2,13353.7,1680.53,3,18,2,2025-04-12 21:06:32,dM,CENRL969,Suddenly increase somebody long.,PRDCT01
05f6d4d8-2da5-41bd-a146-ec734bbcfff6,2025-03-25,8053613,83328.78,Seem produce task.,1849.4,1792.3,1995.11,811.44,1002.02,1648.18,119.45,575.4,989.56,1528.38,1440.59,1088.34,1961.35,307.52,,81932.13,44137.16,15259.64,50.76,7,6,0,2025-05-18 08:50:36,tR,CENRL687,Similar discuss down head forget decision.,PRDCT18
b486acb6-485f-4286-afe1-5c85130d6c7d,2025-05-26,6939576,26379.87,Population listen itself move change human foreign.,1792.64,543.86,868.54,840.71,217.24,125.22,710.12,177.58,866.4,17.12,1071.6,146.97,1388.41,808.41,,59882.6,31587.43,7782.18,3754.07,5,13,11,2025-04-22 21:21:07,vc,CENRL094,Serious red number continue.,PRDCT53
00dfdb2b-8e0a-41f7-b0ec-1bfea1484e21,2025-04-12,4869544,3355.43,Education piece be mean feel hotel.,3198.62,327.72,1926.36,128.49,1739.44,287.97,1337.52,1488.23,1649.51,1255.04,1516.13,774.42,612.33,1827.44,,65327.03,10734.88,14870.6,1842.44,8,10,16,2025-04-28 08:25:02,KY,CENRL298,Vote hundred statement say.,PRDCT35
0841931d-2a01-4c10-ad66-cd198e858cf1,2025-05-16,6354763,12837.06,Challenge rest toward.,875.67,1178.59,864.36,1482.72,909.48,41.22,899.45,1476.89,1440.27,1422.05,902.3,858.02,1548.65,317.15,,108200.09,47978.27,13341.15,1717.85,1,17,23,2025-05-25 04:22:51,xa,CENRL774,Senior again might allow.,PRDCT25
89fbc8d7-fce7-4e0b-a112-68e4429c083e,2025-04-03,1417044,37531.05,Increase visit office brother section.,4472.5,680.16,543.5,1012.6,406.54,644.11,796.34,1876.52,160.72,394.19,399.0,1990.53,1781.62,388.33,,26169.01,17872.7,11074.16,1705.72,8,4,29,2025-04-27 05:33:31,Ih,CENRL541,Law forward tough generation.,PRDCT88
7116f07d-b44e-48bb-96d8-7791df022e66,2025-05-26,5778717,89160.47,Author avoid ever other situation east including.,4680.51,270.89,1803.79,984.57,796.71,56.45,1427.53,1656.45,1734.3,681.04,1829.0,1680.68,1849.92,1219.5,2025-02-26,160819.87,64135.4,15990.83,4851.76,5,22,18,2025-05-15 18:21:12,uO,CENRL632,Reality window series work.,PRDCT31
20aa5a65-7915-4634-b293-f099420f2f18,2025-05-22,2110013,13109.32,Somebody serve someone as.,309.56,1723.29,723.68,1337.89,841.52,717.34,1540.57,686.07,1507.43,1640.96,361.35,1954.46,124.88,829.45,,167577.97,138272.16,13988.89,2795.15,5,2,29,2025-05-10 18:55:17,pV,CENRL497,System worry final investment involve to.,PRDCT96
994d8e97-555a-4325-bc12-b8d86eea7901,2025-05-30,7958732,30294.0,Central idea court including inside yard.,4545.65,1005.66,1210.9,109.82,761.17,1171.94,597.03,931.1,1531.19,1412.68,485.34,890.85,1681.7,1125.53,,190269.78,103604.52,12914.91,2874.79,4,10,30,2025-04-19 10:46:12,Zc,CENRL392,Choice course television scene.,PRDCT79
173ef549-6479-4987-8987-78e2082185dc,2025-04-04,1265234,5828.09,Energy personal garden sit page.,660.53,856.24,992.92,263.78,1070.21,940.62,1083.82,651.68,739.56,1883.49,1195.38,64.31,1008.23,1818.42,,189629.33,55798.64,12568.66,4504.58,0,10,23,2025-05-15 07:44:43,mG,CENRL055,Every religious size idea.,PRDCT95
ddd3fdba-c498-45e7-b83a-f861c6388a54,2025-04-28,2205895,39263.59,Last level quality five floor final.,3455.55,125.27,506.72,336.04,832.11,849.95,1214.12,993.62,329.54,93.24,1049.54,1527.71,1853.79,1679.28,,174477.92,92928.42,11390.93,1412.24,1,3,14,2025-05-13 22:02:39,SP,CENRL692,Official maybe easy hour.,PRDCT87
ac01a0de-8243-488c-8dbb-2c3084938f8f,2025-05-15,4152438,61673.27,Land east analysis hard close any.,2809.15,1614.75,1041.41,1844.27,1270.98,784.77,1595.54,897.11,120.3,865.32,1308.18,1034.58,307.7,269.12,,195619.37,5399.57,12954.03,1222.4,3,2,12,2025-05-23 09:00:24,rG,CENRL870,World take quite TV foot loss.,PRDCT97
